Locality,MinPrice,MaxPrice,AvgRent,HouseType,BHK,Locality_encoded,locality_bhk_mean,locality_bhk_std,zscore,overpriced_flag,predicted_rent,fairness_score,verdict,locality_mean,locality_std,display_score
HSR Layout,5000.0,19300.0,12647.22,1BHK,1,69,12647.22,0.0,0.022908826657714543,False,11058.751080571019,85.5,✅ Fair Price,12461.943333333335,8087.566833296237,85.5
HSR Layout,12000.0,40000.0,20455.28,2BHK,2,69,20455.28,0.0,0.9883487619240895,False,19454.96384093474,89.9,✅ Fair Price,12461.943333333335,8087.566833296237,89.9
HSR Layout,18000.0,85000.0,4283.33,3BHK,3,69,4283.33,0.0,-1.0112575885818047,False,27851.17660129846,100.0,✅ Fair Price,12461.943333333335,8087.566833296237,100.0
Whitefield,4500.0,20000.0,1076.46,1BHK,1,208,1076.46,0.0,-0.6530699269605368,False,8980.296366780189,100.0,✅ Fair Price,7358.966666666667,9619.960141031424,100.0
Whitefield,7500.0,50000.0,18433.77,2BHK,2,208,18433.77,0.0,1.151231727675945,True,17376.50912714391,88.2,✅ Fair Price,7358.966666666667,9619.960141031424,88.2
Whitefield,20000.0,29800.0,2566.67,3BHK,3,208,2566.67,0.0,-0.4981618007154082,False,25772.72188750762,100.0,✅ Fair Price,7358.966666666667,9619.960141031424,100.0
Krishnarajapura,3000.0,10900.0,7466.96,1BHK,1,130,7466.96,0.0,-1.116200117490164,False,10146.623472360654,100.0,✅ Fair Price,15494.556666666665,7191.8973496590825,100.0
Krishnarajapura,5200.0,,17666.71,2BHK,2,130,17666.71,0.0,0.3020278554777065,False,18542.836232724374,98.5,✅ Fair Price,15494.556666666665,7191.8973496590825,98.5
Krishnarajapura,12000.0,34400.0,21350.0,3BHK,3,130,21350.0,0.0,0.8141722620124577,False,26939.048993088094,95.9,✅ Fair Price,15494.556666666665,7191.8973496590825,95.9
Sarjapur,5000.0,,5000.0,1BHK,1,183,5000.0,0.0,-1.0276911853413173,False,9354.119157030338,100.0,✅ Fair Price,10916.666666666666,5757.241816471958,100.0
Sarjapur,10500.0,12000.0,11250.0,2BHK,2,183,11250.0,0.0,0.057898094948806725,False,17750.331917394054,99.7,✅ Fair Price,10916.666666666666,5757.241816471958,99.7
Sarjapur,16500.0,,16500.0,3BHK,3,183,16500.0,0.0,0.9697930903925109,False,26146.544677757774,95.2,✅ Fair Price,10916.666666666666,5757.241816471958,95.2
Whitefield Hope Farm Junction,11000.0,12000.0,11375.0,1BHK,1,209,11375.0,0.0,-0.44204404400609376,False,8965.343455170181,73.1,⚠️ Slightly High,18791.666666666668,16778.11694837455,73.1
Whitefield Hope Farm Junction,7000.0,,7000.0,2BHK,2,209,7000.0,0.0,-0.7028003620995761,False,17361.5562155339,100.0,✅ Fair Price,18791.666666666668,16778.11694837455,100.0
Whitefield Hope Farm Junction,38000.0,,38000.0,3BHK,3,209,38000.0,0.0,1.1448444061056695,True,25757.76897589762,46.7,🔶 Overpriced,18791.666666666668,16778.11694837455,46.7
Begur,3000.0,12950.0,8409.38,1BHK,1,22,8409.38,0.0,-0.8382962583219276,False,11761.5379262413,100.0,✅ Fair Price,14133.96,6828.8268534793015,100.0
Begur,7000.0,17000.0,12300.0,2BHK,2,22,12300.0,0.0,-0.26856150248788235,False,20157.750686605017,100.0,✅ Fair Price,14133.96,6828.8268534793015,100.0
Begur,19000.0,25000.0,21692.5,3BHK,3,22,21692.5,0.0,1.10685776080981,True,28553.963446968737,94.5,✅ Fair Price,14133.96,6828.8268534793015,94.5
Thanisandra,5500.0,13600.0,9933.33,1BHK,1,198,9933.33,0.0,-0.8252610012508629,False,9129.825482880247,91.2,✅ Fair Price,13976.586666666668,4899.367182670975,91.2
Thanisandra,8000.0,16000.0,12571.43,2BHK,2,198,12571.43,0.0,-0.28680370633103314,False,17526.038243243966,100.0,✅ Fair Price,13976.586666666668,4899.367182670975,100.0
Thanisandra,17000.0,24700.0,19425.0,3BHK,3,198,19425.0,0.0,1.1120647075818952,True,25922.251003607686,94.4,✅ Fair Price,13976.586666666668,4899.367182670975,94.4
Yelahanka,5000.0,10000.0,7412.5,1BHK,1,211,7412.5,0.0,-0.8274033667615873,False,8935.43763195017,100.0,✅ Fair Price,13851.786666666667,7782.52412951822,100.0
Yelahanka,8500.0,20000.0,11642.86,2BHK,2,211,11642.86,0.0,-0.28383165023394674,False,17331.650392313888,100.0,✅ Fair Price,13851.786666666667,7782.52412951822,100.0
Yelahanka,20000.0,25000.0,22500.0,3BHK,3,211,22500.0,0.0,1.111235016995534,True,25727.863152677608,94.4,✅ Fair Price,13851.786666666667,7782.52412951822,94.4
Varthur,3500.0,13000.0,7528.57,1BHK,1,204,7528.57,0.0,-0.7952202914343826,False,9040.108013220211,100.0,✅ Fair Price,14219.94,8414.485988442786,100.0
Varthur,7500.0,20000.0,11464.58,2BHK,2,204,11464.58,0.0,-0.32745434525465494,False,17436.32077358393,100.0,✅ Fair Price,14219.94,8414.485988442786,100.0
Varthur,20000.0,26250.0,23666.67,3BHK,3,204,23666.67,0.0,1.122674636689037,True,25832.53353394765,94.4,✅ Fair Price,14219.94,8414.485988442786,94.4
Electronic City Phase 1,8500.0,9000.0,8750.0,1BHK,1,58,8750.0,0.0,-0.8876195476708447,False,11223.233108281085,100.0,✅ Fair Price,25750.0,19152.349725294804,100.0
Electronic City Phase 1,22000.0,,22000.0,2BHK,2,58,22000.0,0.0,-0.19579842963327457,False,19619.445868644805,87.9,✅ Fair Price,25750.0,19152.349725294804,87.9
Electronic City Phase 1,43000.0,50000.0,46500.0,3BHK,3,58,46500.0,0.0,1.0834179773041193,True,28015.658629008525,28.6,🚨 Significantly Overpriced,25750.0,19152.349725294804,28.6
Electronics City,4000.0,12100.0,8710.17,1BHK,1,60,8710.17,0.0,-0.7394426051201903,False,11193.327285061074,100.0,✅ Fair Price,16135.153333333334,10041.324751806076,100.0
Electronics City,8100.0,19000.0,12135.29,2BHK,2,60,12135.29,0.0,-0.39834020233375084,False,19589.540045424794,100.0,✅ Fair Price,16135.153333333334,10041.324751806076,100.0
Electronics City,16000.0,37000.0,27560.0,3BHK,3,60,27560.0,0.0,1.1377828074539411,True,27985.752805788514,94.3,✅ Fair Price,16135.153333333334,10041.324751806076,94.3
Devanahalli,6999.0,,6999.0,1BHK,1,46,6999.0,0.0,-1.1547005383792515,False,11402.668047601157,100.0,✅ Fair Price,22333.0,13279.633541630583,100.0
Devanahalli,30000.0,,30000.0,2BHK,2,46,30000.0,0.0,0.5773502691896257,False,19798.880807964873,45.6,🔶 Overpriced,22333.0,13279.633541630583,45.6
Devanahalli,30000.0,,30000.0,3BHK,3,46,30000.0,0.0,0.5773502691896257,False,28195.093568328593,90.7,✅ Fair Price,22333.0,13279.633541630583,90.7
Marsur,7500.0,,7500.0,1BHK,1,143,7500.0,0.0,-0.7198445782822267,False,9952.235621430576,100.0,✅ Fair Price,12333.333333333334,6714.412359494562,100.0
Marsur,9000.0,10000.0,9500.0,2BHK,2,143,9500.0,0.0,-0.4219778562344088,False,18348.448381794296,100.0,✅ Fair Price,12333.333333333334,6714.412359494562,100.0
Marsur,20000.0,,20000.0,3BHK,3,143,20000.0,0.0,1.1418224345166352,True,26744.661142158016,94.3,✅ Fair Price,12333.333333333334,6714.412359494562,94.3
BTM Layout,4000.0,17000.0,9669.28,1BHK,1,11,9669.28,0.0,-0.8817646537943574,False,11926.019953951367,100.0,✅ Fair Price,17881.126666666667,9312.968751162722,100.0
BTM Layout,8000.0,30000.0,15974.1,2BHK,2,11,15974.1,0.0,-0.20477107972992767,False,20322.232714315083,100.0,✅ Fair Price,17881.126666666667,9312.968751162722,100.0
BTM Layout,19000.0,37000.0,28000.0,3BHK,3,11,28000.0,0.0,1.0865357335242851,True,28718.445474678803,94.6,✅ Fair Price,17881.126666666667,9312.968751162722,94.6
Chandapura,4500.0,7300.0,6060.0,1BHK,1,36,6060.0,0.0,-0.8552222702366122,False,11552.197163701218,100.0,✅ Fair Price,10408.89,5085.099103881851,100.0
Chandapura,7000.0,12000.0,9166.67,2BHK,2,36,9166.67,0.0,-0.2442862911072306,False,19948.409924064938,100.0,✅ Fair Price,10408.89,5085.099103881851,100.0
Chandapura,16000.0,,16000.0,3BHK,3,36,16000.0,0.0,1.0995085613438433,True,28344.622684428658,94.5,✅ Fair Price,10408.89,5085.099103881851,94.5
Koramangala,3500.0,25000.0,11340.0,1BHK,1,128,11340.0,0.0,-0.7710857450566939,False,10176.529295580667,88.6,✅ Fair Price,31807.77666666667,26544.099405133966,88.6
Koramangala,12000.0,50000.0,22283.33,2BHK,2,128,22283.33,0.0,-0.35881596588748904,False,18572.742055944385,80.0,✅ Fair Price,31807.77666666667,26544.099405133966,80.0
Koramangala,23000.0,,61800.0,3BHK,3,128,61800.0,0.0,1.1299017109441827,True,26968.954816308105,-34.8,🚨 Significantly Overpriced,31807.77666666667,26544.099405133966,0.0
Bellandur,7000.0,18000.0,11407.69,1BHK,1,23,11407.69,0.0,-0.6801512488089414,False,11746.585014631295,100.0,✅ Fair Price,44364.46666666667,48455.0704337888,100.0
Bellandur,10500.0,30000.0,21685.71,2BHK,2,23,21685.71,0.0,-0.46803681149645515,False,20142.797774995015,92.3,✅ Fair Price,44364.46666666667,48455.0704337888,92.3
Bellandur,,,100000.0,3BHK,3,23,100000.0,0.0,1.1481880603053964,True,28539.010535358735,-156.1,🚨 Significantly Overpriced,44364.46666666667,48455.0704337888,0.0
Marathahalli,5000.0,15500.0,8961.54,1BHK,1,141,8961.54,0.0,-0.9687977845969661,False,9982.141444650588,100.0,✅ Fair Price,16377.18,7654.476628561876,100.0
Marathahalli,8000.0,25200.0,15920.0,2BHK,2,141,15920.0,0.0,-0.059727140363076046,False,18378.354205014308,100.0,✅ Fair Price,16377.18,7654.476628561876,100.0
Marathahalli,12000.0,30000.0,24250.0,3BHK,3,141,24250.0,0.0,1.028524924960042,True,26774.566965378028,94.9,✅ Fair Price,16377.18,7654.476628561876,94.9
Indira Nagar,6000.0,22000.0,12704.23,1BHK,1,81,12704.23,0.0,-0.8152246412431358,False,10879.316141250947,83.2,✅ Fair Price,26139.8,16480.81929848453,83.2
Indira Nagar,12000.0,45000.0,21185.76,2BHK,2,81,21185.76,0.0,-0.3005942793423833,False,19275.528901614663,90.1,✅ Fair Price,26139.8,16480.81929848453,90.1
Indira Nagar,24000.0,75000.0,44529.41,3BHK,3,81,44529.41,0.0,1.1158189205855193,True,27671.741661978383,33.5,🚨 Significantly Overpriced,26139.8,16480.81929848453,33.5
J. P. Nagar,3300.0,20000.0,9482.02,1BHK,1,83,9482.02,0.0,-0.9225936745560818,False,10849.410318030936,100.0,✅ Fair Price,18311.593333333334,9570.381389815837,100.0
J. P. Nagar,9000.0,29000.0,16971.28,2BHK,2,83,16971.28,0.0,-0.14004805856113609,False,19245.623078394652,100.0,✅ Fair Price,18311.593333333334,9570.381389815837,100.0
J. P. Nagar,14000.0,54000.0,28481.48,3BHK,3,83,28481.48,0.0,1.0626417331172175,True,27641.835838758372,91.6,✅ Fair Price,18311.593333333334,9570.381389815837,91.6
Subramanyapura,3500.0,12000.0,7361.11,1BHK,1,194,7361.11,0.0,-0.9820469196241522,False,9189.637129320272,100.0,✅ Fair Price,13078.703333333333,5822.11829096879,100.0
Subramanyapura,10000.0,16500.0,12875.0,2BHK,2,194,12875.0,0.0,-0.03498783830093515,False,17585.84988968399,100.0,✅ Fair Price,13078.703333333333,5822.11829096879,100.0
Subramanyapura,15000.0,23000.0,19000.0,3BHK,3,194,19000.0,0.0,1.0170347579250876,True,25982.06265004771,94.9,✅ Fair Price,13078.703333333333,5822.11829096879,94.9
Mahadevapura,4500.0,17500.0,10478.81,1BHK,1,137,10478.81,0.0,-0.7339371920361387,False,10041.953091090612,95.6,✅ Fair Price,24006.573333333334,18431.772473341607,95.6
Mahadevapura,8500.0,26400.0,16540.91,2BHK,2,137,16540.91,0.0,-0.40504315817326486,False,18438.16585145433,100.0,✅ Fair Price,24006.573333333334,18431.772473341607,100.0
Mahadevapura,45000.0,,45000.0,3BHK,3,137,45000.0,0.0,1.1389803502094034,True,26834.37861181805,26.6,🚨 Significantly Overpriced,24006.573333333334,18431.772473341607,26.6
Electronic City Phase 2,8500.0,,8500.0,1BHK,1,59,8500.0,0.0,-0.8728715609439693,False,11208.28019667108,100.0,✅ Fair Price,13166.666666666666,5346.338310781814,100.0
Electronic City Phase 2,12000.0,,12000.0,2BHK,2,59,12000.0,0.0,-0.21821789023599225,False,19604.492957034796,100.0,✅ Fair Price,13166.666666666666,5346.338310781814,100.0
Electronic City Phase 2,19000.0,,19000.0,3BHK,3,59,19000.0,0.0,1.091089451179962,True,28000.705717398516,94.5,✅ Fair Price,13166.666666666666,5346.338310781814,94.5
Jakkur,7200.0,10800.0,8916.67,1BHK,1,90,8916.67,0.0,-0.9132893773588725,False,10744.739936760894,100.0,✅ Fair Price,17250.0,9124.52307733944,100.0
Jakkur,14000.0,18000.0,15833.33,2BHK,2,90,15833.33,0.0,-0.1552596215706079,False,19140.952697124612,100.0,✅ Fair Price,17250.0,9124.52307733944,100.0
Jakkur,27000.0,,27000.0,3BHK,3,90,27000.0,0.0,1.0685489989294803,True,27537.16545748833,94.7,✅ Fair Price,17250.0,9124.52307733944,94.7
Budigere Cross,12000.0,19000.0,16760.0,1BHK,1,30,16760.0,0.0,-0.7636264624706679,False,11641.914633361253,56.0,🔶 Overpriced,26793.74,13139.591794051288,56.0
Budigere Cross,14000.0,40000.0,21954.55,2BHK,2,30,21954.55,0.0,-0.3682907411317647,False,20038.12739372497,90.4,✅ Fair Price,26793.74,13139.591794051288,90.4
Budigere Cross,40000.0,42500.0,41666.67,3BHK,3,30,41666.67,0.0,1.131917203602432,True,28434.34015408869,47.8,🔶 Overpriced,26793.74,13139.591794051288,47.8
Hebbal,5500.0,12500.0,8733.33,1BHK,1,72,8733.33,0.0,-0.9130673274327895,False,11013.892345741002,100.0,✅ Fair Price,15767.25,7703.615920390891,100.0
Hebbal,9500.0,30000.0,14568.42,2BHK,2,72,14568.42,0.0,-0.15561912904130998,False,19410.10510610472,100.0,✅ Fair Price,15767.25,7703.615920390891,100.0
Hebbal,19500.0,32500.0,24000.0,3BHK,3,72,24000.0,0.0,1.0686864564740994,True,27806.31786646844,94.7,✅ Fair Price,15767.25,7703.615920390891,94.7
Horamavu,5000.0,12000.0,8352.38,1BHK,1,75,8352.38,0.0,-0.9557122726028732,False,10969.033610910985,100.0,✅ Fair Price,18093.063333333335,10192.066809819946,100.0
Horamavu,8000.0,65000.0,17243.48,2BHK,2,75,17243.48,0.0,-0.08335731595820893,False,19365.246371274705,100.0,✅ Fair Price,18093.063333333335,10192.066809819946,100.0
Horamavu,18000.0,40000.0,28683.33,3BHK,3,75,28683.33,0.0,1.0390695885610817,True,27761.459131638418,91.5,✅ Fair Price,18093.063333333335,10192.066809819946,91.5
