Locality,avg_rent,avg_fairness,pct_overpriced,rank
Amruthahalli,15234.9,98.3,0.0,1
Akshayanagar,15266.7,98.3,33.3,2
Bannerughatta,16527.8,98.3,33.3,3
Basaveswarnagar,18339.9,98.3,0.0,4
Banaswadi,18340.7,98.3,33.3,5
Doddakammanahalli,11925.0,98.3,0.0,6
Dwarka Nagar,10500.0,98.3,33.3,7
Cooke Town,17666.7,98.3,0.0,8
Carmelaram,16466.7,98.3,33.3,9
CV Raman Nagar,15339.7,98.3,0.0,10
Gottigere,11154.1,98.3,0.0,11
Padmanabhanagar,13611.1,98.3,33.3,12
Sarjapur,10916.7,98.3,0.0,13
Rajajinagar,17362.8,98.3,0.0,14
Uttarahalli Hobli,15183.3,98.3,33.3,15
Subramanyapura,13078.7,98.3,33.3,16
Ullal Uppanagar,12500.0,98.3,0.0,17
Sunkadakatte,9933.3,98.3,0.0,18
hongasandra bangalore,14760.9,98.3,33.3,19
Yelahanka New Town,11856.0,98.3,0.0,20
Margondanahalli,11750.0,98.3,33.3,21
Marathahalli,16377.2,98.3,33.3,22
Kaval Byrasandra,13833.3,98.3,0.0,23
Kithaganur Colony,12916.7,98.3,0.0,24
K Channasandra,11250.0,98.3,33.3,25
Jalahalli East,15166.7,98.3,33.3,26
RR Nagar,16456.8,98.3,0.0,27
Jalahalli West,10520.8,98.2,33.3,28
Kodathi,14825.9,98.2,33.3,29
Kodihalli on Old Airport Road,15000.0,98.2,33.3,30
Kudlu,13541.7,98.2,0.0,31
Kartik Nagar,16575.9,98.2,33.3,32
Kengeri Satellite Town,9868.9,98.2,0.0,33
Kammmanhalli,15500.0,98.2,33.3,34
Kambipura,13760.0,98.2,0.0,35
K C Krishna Reddy Layout,12766.7,98.2,33.3,36
Munnekollal,15224.5,98.2,33.3,37
NRI Layout,14317.5,98.2,0.0,38
Mailasandra,13777.8,98.2,33.3,39
Mathikere,14915.5,98.2,33.3,40
Kothanur,13722.2,98.2,0.0,41
Kogilu,15583.3,98.2,33.3,42
Jakkur,17250.0,98.2,33.3,43
Electronic City Phase 2,13166.7,98.2,33.3,44
Chamrajpet,12666.7,98.2,0.0,45
GB Palya,11575.0,98.2,0.0,46
Hebbal,15767.2,98.2,33.3,47
Hosakerehalli,12527.8,98.2,0.0,48
Dooravani Nagar,11175.0,98.2,33.3,49
Devarachikkana Halli,16250.0,98.2,33.3,50
Dasanapura,11000.0,98.2,33.3,51
Vidyaranyapura,12660.0,98.2,33.3,52
Somasundara Palya,14666.7,98.2,33.3,53
Talaghattapura,12416.7,98.2,33.3,54
Ramamurthy Nagar,14845.6,98.2,33.3,55
Rayasandra,10018.5,98.2,0.0,56
Neelasandra,14333.3,98.2,33.3,57
R.K. Hegde Nagar,13375.0,98.2,0.0,58
Begur,14134.0,98.2,33.3,59
Chandapura,10408.9,98.2,33.3,60
Hennur,15085.1,98.2,33.3,61
BTM Layout,17881.1,98.2,33.3,62
Banashankari,15106.8,98.2,33.3,63
Gnana bharathi,9333.3,98.1,33.3,64
JP Nagar Phase 8,16404.8,98.1,0.0,65
Attiguppe,13233.3,98.1,0.0,66
Anjanapura,11583.3,98.1,33.3,67
Electronics City,16135.2,98.1,33.3,68
Devinagar,14083.3,98.1,33.3,69
Dasarahalli,12822.2,98.1,0.0,70
Choodasandra,5659.7,98.1,0.0,71
Hulimavu,13961.3,98.1,0.0,72
Medahalli,10550.3,98.1,0.0,73
Mullur,13111.1,98.1,33.3,74
Malleswaram,15803.6,98.1,33.3,75
Varthur,14219.9,98.1,33.3,76
Yelahanka,13851.8,98.1,33.3,77
Kadugondanahalli,12083.3,98.1,33.3,78
Kamala Nagar,13714.2,98.1,33.3,79
Krishnarajapura,15494.6,98.1,0.0,80
Kaggadasapura,13993.8,98.1,0.0,81
Kengeri,10921.4,98.1,33.3,82
Marsur,12333.3,98.1,33.3,83
Basapura,12358.3,98.1,0.0,84
Kadugodi Industrial Area,11527.8,98.1,33.3,85
Jigani,12825.0,98.1,33.3,86
Nagarbhavi,15172.6,98.1,33.3,87
Kumaraswamy Layout,13659.4,98.1,0.0,88
Adugodi,11569.1,98.1,33.3,89
Abbigere,10553.3,98.1,0.0,90
Jalahalli,14766.7,98.1,33.3,91
Hoskote,10843.1,98.0,16.7,92
SMV Layout,12166.7,97.9,33.3,93
Kanakapura Road Beyond Nice Ring Road,15718.0,97.9,0.0,94
HBR Layout,16521.5,97.9,0.0,95
Dasarahalli on Tumkur Road,13832.2,97.8,40.0,96
JP Nagar Phase 5,14733.3,97.6,33.3,97
Kadugodi,15603.6,97.6,33.3,98
Nagavara,17135.6,97.5,33.3,99
Maruthi Sevanagar,13793.3,97.4,0.0,100
Narayanapura Hennur Main Road,14833.3,97.3,33.3,101
Horamavu,18093.1,97.2,33.3,102
J. P. Nagar,18311.6,97.2,33.3,103
Singasandra,16202.6,97.2,33.3,104
Chandra Layout Extension,18505.6,96.7,33.3,105
Varanasi,13583.3,96.6,33.3,106
Murugeshpalya,16714.4,96.4,33.3,107
Jayanagar,17131.4,96.3,0.0,108
HAL,16791.7,96.3,0.0,109
R T  Nagar,17152.3,96.2,33.3,110
KPC Layout,17083.3,96.1,33.3,111
Whitefield,7359.0,96.1,33.3,112
RT Nager,14405.6,95.8,33.3,113
Bommanahalli,17093.7,95.6,16.7,114
Bennigana Halli,16600.0,95.5,33.3,115
Thanisandra,13976.6,95.2,33.3,116
